case_id,seed,timestamp,S,mu,delta,lf_success,lf_peak_force,lf_safety_violated,lf_max_rotation_deg,lf_wall_time,lf_connector_failed_t,hf_success,hf_peak_force,hf_safety_violated,hf_max_rotation_deg,hf_wall_time,hf_connector_failed_t,hf_failure_sequence,hf_n_failed,force_discrepancy,adequate_label,success_agree,safety_agree,speedup_ratio,phase
850,892,2026-09-21T15:19:38,117.27101059002747,0.38283579229857334,0.0077747623140004855,1,1.2458391740304384,0,0.0018846281416692184,0.005952887993771583,0.0,1,1.4098888591705305,0,0.2549993868966092,0.009843322040978819,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.11635646602428382,0,1,1,1.653537249697582,boundary
851,893,2026-09-21T15:19:38,28.382967856177647,0.3509360185371313,0.004890447476838661,1,1.2007061313541343,0,0.0009858362947032463,0.005923029966652393,0.0,1,1.3036740321657998,0,0.039933750828147103,0.009709959966130555,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.0789828578855747,1,1,1,1.6393568867284454,boundary
852,894,2026-09-21T15:19:38,31.421614518829326,0.6464978216772372,0.00550322511141166,1,1.203588644285745,0,0.002239218580707473,0.006043160974513739,0.0,1,1.1947609863803856,0,0.7784580301089484,0.009357046976219863,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.007388639239136413,1,1,1,1.5483696389492212,boundary
853,895,2026-09-21T15:19:38,37.544795977558536,0.4982666187293636,0.007859919927274679,1,1.2067674688157513,0,0.0007716649727042712,0.006075601966585964,0.0,1,1.6608993846697808,0,0.011603146502349096,0.009377464011777192,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.2734253020054673,0,1,1,1.5434625347991038,boundary
854,896,2026-09-21T15:19:38,27.905372428604096,0.31849352165110323,0.0013151943740680769,1,1.186464247474287,0,0.0005067138529348309,0.005999026005156338,0.0,1,1.1855923659216332,0,0.01723276879104585,0.00959073001286015,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.0007353974078401422,1,1,1,1.5987145254274004,boundary
855,897,2026-09-21T15:19:38,77.28718857064823,0.5488974565733652,0.007582038670868635,1,1.1920172941625011,0,0.0011049215380188988,0.005943932046648115,0.0,1,1.185603078555162,0,0.03368603632842526,0.009457548963837326,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.005410086835432255,1,1,1,1.5911266968757827,boundary
856,898,2026-09-21T15:19:38,20.506209112067946,0.5282955872759438,0.0031008558478305137,1,1.1990584068158805,0,0.0014724513072653215,0.0060847980203107,0.0,1,1.1941390454762852,0,0.01833124986978461,0.010357789986301214,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.004119588383137704,1,1,1,1.7022405594610563,boundary
857,899,2026-09-21T15:19:38,55.312577560207394,0.7311743013622831,0.006317719856305893,1,1.2291627167717325,0,0.004802486787728008,0.006012177967932075,0.0,1,1.2093780057666512,0,0.1577248080345007,0.009817768004722893,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.01635941030078459,1,1,1,1.6329802705590521,boundary
858,900,2026-09-21T15:19:38,117.3645869149002,0.6551647204266605,0.007559523396726886,1,1.1867910050633994,0,0.00179719549806443,0.006488945975434035,0.0,1,1.185682813967431,0,0.011659424883718692,0.009236270969267935,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.0009346438043243259,1,1,1,1.4233854009934388,boundary
859,901,2026-09-21T15:19:38,88.42199741749684,0.5807176290521836,0.004331859028402696,1,1.1981764710650138,0,0.0016493168723085692,0.006343797023873776,0.0,1,1.1911547517605245,0,0.6958839481071778,0.009652826003730297,0.0,"[[0, 0.0], [1, 0.0], [2, 0.0], [3, 0.0], [4, 0.0], [5, 0.0], [6, 0.0], [7, 0.0]]",8,0.005894884182018467,1,1,1,1.521616465250002,boundary
