case_id,task,task_id,strength,friction,misalignment,lf_success,hf_success,lf_placement,hf_placement,lf_peak_force,hf_peak_force,lf_wall_time,hf_wall_time,force_error,adequate
71,hdd,0,87.39862515793925,0.5509973833642298,0.007686960426562251,1,1,1,1,87.45437130473059,0.0,0.4183593000052497,0.40718820004258305,8.745437130473059,0
72,hdd,0,95.28964741614756,0.6807112411248158,0.0011752649986398265,1,1,1,1,95.86910995810678,0.0,0.44390960002783686,0.3699827999807894,9.586910995810678,0
73,hdd,0,73.20080726872503,0.39329778638584456,0.007080304425457292,1,1,1,1,73.49579306821684,0.0,0.37104090000502765,0.4448265000246465,7.349579306821684,0
74,hdd,0,69.4457119290788,0.20977021240022375,0.005939028100616479,1,1,1,1,69.9146041273134,0.0,0.46815510001033545,0.3922672000480816,6.99146041273134,0
75,hdd,0,107.69173052356265,0.2562753278534321,0.007771861385537951,1,1,1,1,107.75117039704529,0.0,0.3549864999949932,0.3429745000321418,10.77511703970453,0
76,hdd,0,34.12200829610631,0.26308623939124826,0.007036257610744962,1,1,1,1,34.27403197618237,0.0,0.35620419995393604,0.3602004999993369,3.4274031976182373,0
77,hdd,0,75.86029522689458,0.699745458871666,0.003957438865247083,1,1,1,1,76.25669747947458,0.0,0.4306025999831036,0.42116340005304664,7.625669747947458,0
78,hdd,0,59.02232559279993,0.24745649119690308,0.007534203157291859,1,1,1,1,59.03414886359526,0.0,0.43546940002124757,0.36891499999910593,5.903414886359526,0
79,hdd,0,77.07174551691594,0.7859583808373871,0.00631708949341958,1,1,1,1,77.52783487828614,0.0,0.37578050000593066,0.37065769999753684,7.752783487828614,0
80,hdd,0,51.723523795039085,0.781807426793908,0.004553796246880896,1,1,1,1,52.11987293089422,0.0,0.37180050008464605,0.38970569998491555,5.211987293089422,0
81,hdd,0,46.823076803133645,0.19191929641836666,0.00600352696123264,1,1,1,1,47.05010328059882,0.0,0.35308470006566495,0.3355423000175506,4.705010328059882,0
82,hdd,0,48.13229761422043,0.13637066633836142,0.0003900217588424751,1,1,1,1,48.5048613031457,0.0,0.36071939999237657,0.32524249993730336,4.85048613031457,0
83,hdd,0,32.85803930454216,0.2128121609403134,0.007710200249819938,1,1,1,1,33.19868726148023,0.0,0.3356805000221357,0.3904949000570923,3.319868726148023,0
84,hdd,0,70.51536770597457,0.2814217076864468,0.004500355670320064,1,1,1,1,70.9917380541246,0.0,0.34556579997297376,0.3402345000067726,7.09917380541246,0
85,hdd,0,24.417995239918852,0.49242800621867755,0.00298385925120389,1,1,1,1,24.494657421264954,0.0,0.34805380005855113,0.44708329997956753,2.4494657421264954,0
86,hdd,0,20.64448038101494,0.7986129881179017,0.002582768713488195,1,1,1,1,20.885243076459403,0.0,0.35334919998422265,0.3479623000603169,2.0885243076459403,0
87,hdd,0,106.05844526984788,0.7409425524275106,0.0022894967484541028,1,1,1,1,106.41139349349795,0.0,0.34389219991862774,0.3299791000317782,10.641139349349796,0
88,hdd,0,88.69300984250418,0.3049470926469511,0.005459074131137655,1,1,1,1,89.00764704031613,0.0,0.3350962999975309,0.3679918999550864,8.900764704031612,0
